Column1,Column2
English,Translaction
Always,Həmişə
Never,Heç vaxt
Sometimes,Bəzən
Often,Tez-tez
Rarely,Nadir hallarda
Happy,Xoşbəxt
Sad,Kədərli
Angry,Acıqlı
Thirsty,Susuzlamış
Hungry,Ac
Beautiful,Gözəl
Ugly,Çirkin
Strong,Güclü
Weak,Zəif
Fast,Sürətli
Slow,Yavaş
Big,Böyük
Small,Kiçik
Cheap,Ucuz
Expensive,Bahalı
Easy,Asan
Difficult,Çətin
Early,Tez
Late,Gec
Hot,İsti
Cold,Soyuq
New,Yeni
Old,Köhnə
Right,Düzgün/Sağ
Wrong,Səhv
True,Doğru
False,Yalan
Safe,Təhlükəsiz
Dangerous,Təhlükəli
Clean,Təmiz
Dirty,Çirkli
Empty,Boş
Full,Dolu
High,Hündür
Low,Alçaq
Rich,Zəngin
Poor,Kasıb
Soft,Yumşaq
Hard,Bərk/Çətin
Heavy,Ağır
Light,Yüngül/İşıq
Long,Uzun
Short,Qısa
Smart,Ağıllı
Stupid,Axmaq
Quiet,Sakit
Noisy,Səs-küylü
Near,Yaxın
Far,Uzaq
Above,Yuxarıda
Below,Aşağıda
Inside,İçəridə
Outside,Çöldə
Before,Əvvəl
After,Sonra
Between,Arasında
Under,Altında
Table,Masa
Chair,Stul
Window,Pəncərə
Door,Qapı
Floor,Döşəmə
Wall,Divar
Roof,Dam
Kitchen,Mətbəx
Bedroom,Yataq otağı
Garden,Bağ
House,Ev
Building,Bina
Street,Küçə
City,Şəhər
Country,Ölkə
World,Dünya
Water,Su
Food,Yemək
Bread,Çörək
Milk,Süd
Coffee,Qəhvə
Tea,Çay
Fruit,Meyvə
Vegetable,Tərəvəz
Apple,Alma
Book,Kitab
Pen,Qələm
Paper,Kağız
Computer,Kompyuter
Phone,Telefon
Money,Pul
Work,İş
Time,Vaxt
Day,Gün
Night,Gecə
Morning,Səhər
Evening,Axşam
Week,Həftə
Month,Ay
Year,İl
Summer,Yay
Winter,Qış
Spring,Bahar
Autumn,Payız
Sun,Günəş
Moon,Ay (səma cismi)
Star,Ulduz
Rain,Yağış
Snow,Qar
Wind,Külək
Fire,Od
Earth,Torpaq/Yer
Air,Hava
